"","observer_id","street_segment","no_of_graffiti","bars","liquor_stores","night_shops","night_clubs","restaurants","shops","hotels_or_hostels","offices","public_parking_lots","bus_or_tram_stops","schools","residences","surveillance_cameras","police_station","trees_along_street","public_seating","flower_beds","public_restrooms"
"278",35,"141641","0","1","0","0","0","0","1","0","0","0","0","0","12","0","0","0","0","1","0"
"279",35,"610976","2","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","7","0"
"280",35,"141634","0","0","0","0","0","0","1","0","0","0","0","0","13","0","0","1","0","1","0"
"281",35,"611184","7","0","0","0","0","0","0","0","0","0","0","0","23","0","0","4","3","4","0"
"282",35,"141640","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","3","0"
"283",35,"141467","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0"
"284",145,"610624","3",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"15",NA,NA,"7",NA,"4",NA
"285",145,"610640","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"26",NA,NA,"5",NA,"5",NA
"286",145,"610690","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2",NA,NA,"3",NA,"2",NA
"287",145,"145791","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,"2",NA
"288",145,"610686","2",NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,"4",NA,NA,"2",NA,"2",NA
"289",145,"145800","0",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"7",NA,"8",NA
"290",145,"145793","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28",NA,NA,"2","4","2",NA
"291",145,"145787","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28",NA,NA,"2","4","2",NA
"292",145,"145598","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA
"293",145,"145782","0",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"2",NA,NA,NA,NA,"1",NA
"294",145,"145789","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295",145,"145597","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"2",NA,"1",NA
"296",145,"145778","0",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"2",NA,NA,"2",NA,"3",NA
"297",8,"611172","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,"3","1","4",NA
"298",8,"141016","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA
"299",8,"140981","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"300",8,"140944","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA
"301",8,"141110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA
"302",8,"140939",NA,"1",NA,NA,NA,"1","2",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"303",8,"610997","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"1",NA,NA,NA
"304",8,"140898","10","1",NA,NA,NA,"2","1",NA,NA,NA,NA,NA,"9","1",NA,"2",NA,"1",NA
"305",8,"141083","9",NA,NA,"3",NA,NA,"1",NA,NA,NA,NA,NA,"4",NA,NA,"1",NA,"1",NA
"306",8,"141098","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA
"307",8,"140943","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA
"308",8,"140983",NA,"1",NA,NA,NA,"1","1",NA,NA,NA,"1",NA,"5",NA,NA,NA,NA,NA,NA
"309",8,"141130","5",NA,NA,NA,NA,NA,"1",NA,"2",NA,"1",NA,"10",NA,NA,NA,"1",NA,NA
"310",30,"611058","2","0","0","0","0","0","4","0","2","0","0","0","15","0","0","1","0","0","0"
